Numero,Tópico,Enunciado de la Pregunta,Alt. A,Alt. B,Alt. C,Alt. D,Respuesta,Justificación Técnica
27,RIC 10: Cajas,¿Cuántos puntos de entrada de tuberías se permiten como máximo en cajas de derivación comunes?,3 entradas,5 entradas,8 entradas,12 entradas,B,El RIC 10 limita a un máximo de 5 entradas de tuberías en cajas de derivación comunes para mantener la integridad estructural.
28,RIC 10: Iluminación,¿Está permitido el uso del propio conductor eléctrico como soporte mecánico de luminarias?,"Sí, si es liviana","No, está prohibido",Solo en exteriores,Solo en bodegas,B,Las luminarias deben tener un soporte mecánico independiente; queda prohibido que el conductor soporte el peso de la lámpara.
29,RIC 10: Tableros,¿En qué lugares está prohibido explícitamente instalar tableros eléctricos?,Pasillos,Cocinas,Baños y dormitorios,Logias,C,"El RIC 10 prohíbe la instalación de tableros en dormitorios, baños, lavaderos y lugares de difícil acceso."
30,RIC 18: Proyectos,¿Cómo se denomina el documento que describe y justifica técnicamente todas las soluciones de diseño?,Planos,Memoria explicativa,Cuadro de cargas,Informe imágenes,B,La memoria explicativa es el documento técnico que justifica el diseño y cálculos de la instalación según el RIC 18.
31,RIC 18: Proyectos,¿A partir de qué potencia declarada es obligatoria la presentación de la memoria explicativa?,5 kW,10 kW,20 kW,50 kW,B,"Según el RIC 18, para proyectos con potencia superior a 10 kW es obligatoria la inclusión de una memoria explicativa."
32,RIC 18: Proyectos,¿Sobre qué potencia se exigen obligatoriamente estudios de coordinación de protecciones?,10 kW,15 kW,20 kW,30 kW,C,El RIC 18 exige estudios de coordinación para instalaciones con potencia declarada igual o superior a 20 kW.
33,RIC 18: Formatos,¿Cuál es el formato digital obligatorio para la presentación de los planos ante la SEC?,PDF,JPG,DWG o equivalente,DOCX,C,La presentación digital de los planos de proyectos debe realizarse en formato DWG o un estándar CAD equivalente.
34,RIC 18: Planos,¿Qué escala debe utilizarse preferentemente para los planos de arquitectura eléctrica?,1:20,1:50,2:40,4:20,B,El RIC 18 establece la escala 1:50 como la preferente para la representación de plantas de instalaciones eléctricas.
35,RIC 18: Planos,¿Qué representa fundamentalmente un diagrama unilineal en un proyecto eléctrico?,La fachada,La interconexión del sistema,El plano de patio,Las tuberías de gas,B,El diagrama unilineal representa de forma simplificada la interconexión de alimentadores y protecciones del sistema.
36,RIC 18: Inspección,¿Qué debe mostrar obligatoriamente el informe de imágenes respecto a la puesta a tierra?,Solo el cable,Profundidad y medidas,Marca del cemento,Foto del dueño,B,"El informe de imágenes debe documentar el proceso constructivo, incluyendo dimensiones y profundidad de la malla de tierra."
37,RIC 18: Documentación,"¿Qué documento resume la información técnica, potencia y ubicación de cada circuito?",Memoria,Cuadro de cargas,Croquis,Diagrama lógico,B,"El cuadro de cargas resume los datos técnicos de consumo, fases y protecciones por cada circuito derivado."
38,RIC 10: Conductores,¿Qué sección mínima de conductor de cobre se exige para circuitos de enchufes?,"1,5 mm²","2,5 mm²","4,0 mm²","6,0 mm²",B,"El RIC 10 y el RIC 04 establecen 2,5 mm² como la sección mínima para conductores en circuitos de enchufes."
39,RIC 10: Conductores,¿Qué sección mínima de conductor de cobre se exige para circuitos de iluminación?,"0,75 mm²","1,0 mm²","1,5 mm²","2,5 mm²",C,"La sección mínima permisible para circuitos de alumbrado (iluminación) es de 1,5 mm²."
40,RIC 10: Instalación,¿Qué distancia mínima debe haber entre un enchufe y una grifería (llave de agua)?,30 cm,45 cm,60 cm,100 cm,C,Los enchufes deben instalarse a una distancia mínima lateral de 60 cm respecto a puntos de agua o griferías.
41,RIC 11: Especiales,¿Cómo se denomina el volumen interior de una bañera o receptáculo de ducha?,Volumen 0,Volumen 1,Volumen 2,Volumen 3,A,El Volumen 0 comprende específicamente el interior de la bañera o el receptáculo de la ducha según el punto 6.4.1.1 del RIC 11.
42,RIC 11: Especiales,¿Hasta qué altura llega el Volumen 1 sobre el nivel del suelo terminado en un baño?,"1,80 m","2,00 m","2,25 m","3,00 m",C,"El Volumen 1 está limitado por el nivel del suelo y el plano horizontal situado a 2,25 m de altura."
43,RIC 11: Especiales,¿Qué distancia lateral comprende el Volumen 2 medido desde el borde del Volumen 1?,30 cm,60 cm,90 cm,240 cm,B,"El Volumen 2 está limitado lateralmente por una superficie vertical situada a 0,60 m del borde del Volumen 1."
44,RIC 10: General,¿Qué grado de protección (IP) mínimo deben tener los equipos instalados a la intemperie?,IP20,IP41,A prueba de lluvia y polvo,IP68,C,El RIC 10 exige que todo equipo al exterior sea a prueba de lluvia y entrada de polvo para garantizar la seguridad.
45,RIC 10: Fuerza,¿A qué porcentaje de su corriente a plena carga se deben dimensionar los conductores de un motor?,100%,110%,125%,150%,C,"Según los criterios del RIC 10 para instalaciones de fuerza, los conductores que alimentan un solo motor deben tener una capacidad de al menos el 125% de su corriente nominal."
46,RIC 10: Fuerza,¿Qué sección mínima de conductor requiere la alimentación de un motor fijo mayor a 3 HP?,"1,5 mm²","2,5 mm²","4,0 mm²",10 mm²,B,"Para motores de potencias superiores a 3 HP, se exige una sección mínima de 2,5 mm² para asegurar la resistencia mecánica y eléctrica."
47,RIC 10: Fuerza,¿Qué requisito de instalación es crítico para los motores eléctricos respecto a su enfriamiento?,Estar tapados,Ventilación adecuada,Sin espacio libre,Estar al sol,B,El RIC 10 establece que los motores deben instalarse de modo que tengan una ventilación suficiente para disipar el calor generado.
48,RIC 06: Tierra,¿Qué instrumento se utiliza reglamentariamente para medir la resistencia de puesta a tierra?,Amperímetro,Telurómetro,Voltímetro,Óhmetro simple,B,El telurómetro es el instrumento específico para la medición de la resistencia de los sistemas de puesta a tierra.
49,Normativa General,¿Qué instrumento se utiliza para verificar la resistencia de aislamiento de una instalación?,Telurómetro,Megóhmetro,Tester común,Wattmetro,B,La resistencia de aislamiento debe medirse con un megóhmetro (u óhmetro de alta tensión) aplicando la tensión de ensayo correspondiente.
50,RIC 10: General,¿Cuál es el valor mínimo de resistencia de aislamiento permitido para circuitos de 220 V?,"0,25 MΩ","0,50 MΩ","1,0 MΩ","2,0 MΩ",B,"Para tensiones de servicio de hasta 500 V (incluyendo 220V), la resistencia mínima de aislamiento debe ser de 0,5 MΩ."
51,RIC 19: Inspección,¿Cuándo debe realizarse obligatoriamente la verificación inicial de una instalación?,Un año después,Antes de energizar,Solo ante fallas,Mensualmente,B,"La verificación inicial, que incluye pruebas y ensayos, debe realizarse antes de la puesta en servicio de la instalación."
52,RIC 18: Proyectos,¿Qué documento garantiza que los instrumentos de medida están correctamente ajustados?,Boleta de compra,Certificado de calibración,Manual de uso,Foto del equipo,B,Todo instrumento de medida utilizado en las verificaciones debe contar con un certificado de calibración vigente emitido por una entidad competente.
53,RIC 10: Cocinas,¿Cuál es la potencia mínima que se debe proyectar para un circuito exclusivo de horno eléctrico?,500 W,1000 W,1500 W,3000 W,C,"El RIC 10 establece que para efectos de diseño, un circuito de horno eléctrico se computará con una potencia mínima de 1.500 W."
54,RIC 10: Protecciones,¿Cuál es la capacidad mínima de la protección termomagnética para un circuito de cocina o lavadero?,10 A,16 A,20 A,25 A,B,La normativa exige que las protecciones para circuitos de cocina y lavadero sean de al menos 16 A debido a la carga de los artefactos.
55,RIC 01: Empalmes,¿Cuál es la capacidad mínima de la protección del empalme para una vivienda nueva?,10 A,16 A,20 A,25 A,D,"Según el estándar de empalmes y el RIC 10, la protección mínima permitida para una vivienda es de 25 A para asegurar el suministro básico."
56,RIC 03: Alimentadores,¿Qué sección mínima de conductor de cobre se exige para el alimentador de una vivienda?,"1,5 mm²","2,5 mm²","4,0 mm²","6,0 mm²",C,"El RIC 03 prohíbe el uso de conductores de sección inferior a 4,0 mm² para alimentadores en instalaciones de consumo."
57,RIC 03: Demanda,"¿Cuál es el propósito técnico de aplicar el ""Factor de Demanda"" en un proyecto?",Aumentar costos,Dimensionar sin excesos,Bajar el voltaje,Usar menos tierra,B,"El factor de demanda permite dimensionar los conductores y protecciones de forma eficiente, evitando sobredimensionamientos innecesarios basándose en el uso simultáneo probable."
58,RIC 03: Demanda,¿Qué factor de demanda se debe aplicar a los primeros 3.000 W de carga en una vivienda?,"0,25","0,35","0,5",1,D,"Según la tabla de factores de demanda del RIC 03, los primeros 3 kW se consideran siempre al 100% (factor 1,00)."
59,RIC 03: Demanda,"¿Qué factor de demanda se aplica reglamentariamente a los ""Servicios Comunes"" de un edificio?","0,5","0,8","0,9",1,D,"Las cargas de servicios comunes en edificios (ascensores, bombas, iluminación de escala) se calculan con un factor de demanda de 1,00."
60,RIC 02: Tableros,¿Cómo debe ser obligatoriamente la rotulación de los dispositivos en un tablero eléctrico?,Con lápiz pasta,"Visible, legible e indeleble",Solo interna,Solo en inglés,B,"Toda la rotulación de tableros, incluyendo circuitos y componentes, debe ser claramente visible, fácil de leer y resistente al borrado."
61,RIC 10: General,¿Qué es un interruptor combinado según la definición de los centros de consumo?,Uno de dos efectos,Integra interruptor y enchufe en uno,Uno con wifi,Uno industrial,B,El RIC 10 permite y define configuraciones de centros donde se integran funciones de comando y toma de corriente en un mismo módulo.
62,RIC 10: Protecciones,¿Qué requisito fundamental exige el punto 5.1.4.2 del RIC 10 para el diseño de tableros?,Usar solo cobre,Asegurar selectividad y coordinación,No usar diferenciales,Pintar los tubos,B,El punto 5.1.4.2 del RIC 10 establece que las protecciones deben coordinarse para asegurar la selectividad de la instalación.
63,RIC 10: Protecciones,"¿Qué indica el concepto técnico de ""Selectividad"" en una instalación?",Elegir la marca,Que opere la protección más cercana a falla,Cortar todo el edificio,No usar automáticos,B,"La selectividad garantiza que ante una falla, solo actúe el dispositivo inmediatamente aguas arriba, minimizando la pérdida de servicio."
64,RIC 10: Cajas,¿Qué longitud mínima deben tener los conductores (chicotes) dentro de las cajas de derivación?,5 cm,10 cm,15 cm,30 cm,C,El RIC 10 exige que los conductores dejen un chicote de al menos 15 cm para permitir conexiones y mantenimiento futuro.
65,RIC 10: Cajas,¿Qué porcentaje de volumen libre debe quedar en una caja de derivación tras el alambrado?,10%,20%,25%,50%,C,"Para evitar el hacinamiento y daño de conductores, las cajas deben proyectarse con un margen de espacio libre del 25%."
66,RIC 10: Seguridad,¿A qué distancia mínima deben estar las canalizaciones eléctricas de las tuberías de gas?,"0,2 m","0,3 m","0,5 m","0,6 m",D,"El punto 5.1.2.5 del RIC 10 establece una distancia mínima de seguridad de 0,60 m respecto a canalizaciones de otros servicios como el gas."
67,RIC 02/10: Tableros,¿Qué tipo de corte deben realizar obligatoriamente los interruptores generales de distribución?,Unipolar,Bipolar,Omnipolar,Solo tierra,C,Los interruptores generales deben desconectar simultáneamente todos los conductores activos (fases y neutro) de la instalación.
68,RIC 10: Emergencia,¿A qué altura mínima sobre el suelo se deben montar las luminarias de seguridad?,"1,5 m","1,8 m","2,0 m","2,5 m",C,Las luminarias de alumbrado de emergencia deben situarse a una altura mínima de 2 metros para garantizar visibilidad y cobertura.
69,RIC 10: Emergencia,¿Qué iluminancia mínima (lux) se exige para las vías de evacuación a nivel de suelo?,1 lux,5 lux,10 lux,50 lux,A,"Según el Anexo 10.1 del RIC 10, las vías de evacuación deben contar con al menos 1 lux en su eje central para permitir el tránsito seguro."
70,RIC 10: Alumbrado,"Según el RIC 10, ¿cuántos centros de luz requiere como mínimo un recinto de más de 10 m²?",1 centro,2 centros,3 centros,4 centros,B,La normativa exige una dotación mínima de puntos de alumbrado según la superficie del recinto para asegurar niveles básicos.
71,RIC 04: Conductores,¿Qué tipo de conductores son obligatorios en lugares de reunión de personas?,PVC común,Libres de halógenos y baja toxicidad,Desnudos,Alambre dulce,B,"En lugares con alta concentración de público, el RIC 04 exige cables tipo LSZH (como el RZ1-K) para evitar gases tóxicos en incendios."
72,RIC 18: Proyectos,¿Qué información fundamental debe contener la cubicación de materiales en un proyecto?,El precio unitario,Cantidades totales de equipos y accesorios,El peso de la carga,La marca de cables,B,El RIC 18 establece que la cubicación debe detallar las cantidades exactas de todos los elementos que componen la instalación.
73,RIC 01: Empalmes,¿Cuál es el radio máximo desde la puerta principal para ubicar la caja de empalme?,5 m,10 m,15 m,20 m,C,El Anexo 1.1 del RIC 01 fija un radio de 15 metros desde el acceso principal para la ubicación reglamentaria del empalme.
74,RIC 01: Empalmes,¿Cuál es la altura máxima permitida para el borde superior de una caja de medidor?,"1,80 m","2,00 m","2,10 m","2,50 m",C,"La altura de montaje está limitada a 2,10 metros para asegurar el acceso fácil a la lectura y operación del dispositivo."
75,RIC 04: Instalación,"¿Qué significa técnicamente que una canalización sea ""embutida""?",Que va por fuera,Colocada en calados y recubierta,Que va al aire,Que es metálica,B,Las canalizaciones embutidas son aquellas que requieren la ejecución de ranuras o calados en muros o losas para su alojamiento.
76,RIC 04: Capacidad,"Según el método de instalación A1, ¿cuánta corriente soporta un cable de 2,5 mm²?",10 A,16 A,18 A,25 A,C,"De acuerdo con la Tabla 4.4 del RIC 04, la capacidad de transporte para 2,5 mm² en ducto (A1) es de 18 A."
77,RIC 19: Ensayos,¿Cuál es el tiempo reglamentario de aplicación de tensión para medir la resistencia de aislamiento?,30 s,1 min,5 min,10 min,B,El ensayo de aislamiento requiere la aplicación de la tensión de prueba durante 1 minuto para estabilizar la lectura del equipo.
78,RIC 10/19: Ensayos,¿Qué prueba se debe verificar primero antes de proceder con el ensayo de aislamiento?,Tensión,Continuidad de tierra,Polaridad,Funcionalidad,B,"Por seguridad, es crítico verificar la continuidad del conductor de protección antes de realizar cualquier otra prueba con tensión."
79,RIC 10: Alumbrado,¿Qué iluminancia mínima requiere un espacio de oficina destinado al tratamiento de datos?,100 lux,300 lux,500 lux,1000 lux,C,El Anexo 10.1 del RIC 10 exige un mínimo de 500 lux para tareas de oficina como escritura y lectura de datos.
80,RIC 11: Especiales,¿A qué altura mínima se deben instalar los enchufes en jardines infantiles o salas cuna?,"0,80 m","1,20 m","1,50 m","1,80 m",C,"Para evitar el alcance accidental de niños, los enchufes en recintos educacionales infantiles deben situarse a 1,50 metros de altura."
81,RIC 10: Protecciones,¿Cuántos circuitos derivados se permiten máximo por cada protector diferencial?,1 circuito,2 circuitos,3 circuitos,4 circuitos,C,El RIC 10 limita a un máximo de 3 circuitos por diferencial para evitar disparos intempestivos por corrientes de fuga acumuladas.
82,RIC 06: Tierra,¿Qué resistencia máxima se permite para una tierra de servicio (neutro) en baja tensión?,5 Ohm,10 Ohm,20 Ohm,80 Ohm,C,"La resistencia de la puesta a tierra de servicio, medida independientemente, no debe exceder los 20 Ohms."
83,RIC 06: Tierra,¿Qué profundidad mínima de enterramiento deben tener reglamentariamente las mallas de tierra?,"0,3 m","0,5 m","0,8 m","1,0 m",B,"Según el RIC 06, los conductores que forman parte de una malla de tierra deben enterrarse a una profundidad mínima de 0,50 m."
84,RIC 10: Emergencia,¿Qué autonomía mínima requiere una luz de emergencia en edificios de más de 5 pisos?,30 min,60 min,90 min,120 min,D,"Para edificios de altura (más de 5 pisos), el RIC 10 exige una autonomía mínima de alumbrado de emergencia de 120 minutos."
85,RIC 10: Instalación,¿A qué altura se deben montar preferentemente los interruptores de comando en viviendas?,"0,4 a 1,0 m","0,8 a 1,4 m","1,0 a 1,6 m","1,5 a 2,0 m",B,"La altura reglamentaria para el montaje de dispositivos de comando se sitúa en un rango de 0,80 m a 1,40 m sobre el suelo."
86,RIC 10: Cocinas,¿Cuál es el tipo de enchufe hembra obligatorio para conectar hornos eléctricos?,10 A,16 A,20 A,32 A,B,Los circuitos destinados a hornos eléctricos deben contar con enchufes de al menos 16 A de capacidad nominal.
87,RIC 10: General,¿Qué potencia unitaria mínima se debe asignar a un enchufe de uso general en el cálculo de carga?,100 W,150 W,250 W,1500 W,C,"Para efectos de diseño y cálculo, cada enchufe de uso general se computará con una potencia mínima de 250 W."
88,RIC 10: Fuerza,¿Qué datos debe indicar obligatoriamente la placa de características de un motor eléctrico?,Solo marca,Tensión y corriente plena carga,Solo el año,El color,B,"Todo motor debe tener una placa que indique claramente su tensión nominal, frecuencia y corriente a plena carga."
89,RIC 10: Fuerza,¿Cómo se deben proteger técnicamente los conductores de motores contra el sobrecalentamiento?,Con cinta,Protección de sobrecarga,Con agua,Con ventilación,B,Los circuitos de fuerza deben incluir dispositivos específicos de protección contra sobrecargas para evitar daños térmicos.
90,RIC 18: Proyectos,¿Qué información fundamental se representa en un diagrama unilineal?,La fachada,Interconexión de alimentadores y protecciones,El jardín,Los muebles,B,"El diagrama unilineal representa gráficamente la configuración eléctrica del sistema, incluyendo sus alimentadores y protecciones."
91,RIC 18: Planos,¿Qué escala es la reglamentariamente preferente para los planos de arquitectura eléctrica?,1:20,1:50,2:40,4:20,B,El RIC 18 establece la escala 1:50 como la escala de preferencia para la representación de las plantas de instalaciones.
92,RIC 10: Cálculo,¿A qué corresponde técnicamente la Potencia Instalada Total de un proyecto?,Solo luces,Suma de potencias nominales de todos los consumos,Solo enchufes,Al empalme,B,Es la suma de las potencias nominales de todos los artefactos y puntos de consumo que componen la instalación eléctrica.
93,RIC 03: Demanda,"¿Qué factor de demanda se aplica reglamentariamente a una bodega para los primeros 12,5 kW?","0,35","0,5","0,8",1,D,"Según las tablas del RIC 03, los primeros 12,5 kW de carga instalada en bodegas se calculan con un factor de demanda de 1,00."
94,RIC 18: Formatos,¿En qué formato digital se deben entregar obligatoriamente los planos ante la SEC?,Papel,PDF,DWG o equivalente,Excel,C,La presentación digital de los planos de proyectos debe realizarse en formato DWG o un estándar CAD equivalente.
95,RIC 02: Tableros,¿A qué altura máxima sobre el suelo se pueden instalar los dispositivos de operación en un tablero?,"1,4 m","1,8 m","2,0 m","2,5 m",C,"Los dispositivos de comando y protección deben estar a una altura máxima de 2,00 m para asegurar su operabilidad."
96,RIC 02: Tableros,¿Qué porcentaje mínimo de espacio de reserva libre deben tener los tableros eléctricos nuevos?,10%,20%,25%,50%,C,Los tableros deben proyectarse con un margen de espacio libre del 25% para permitir futuras ampliaciones de circuitos.
97,RIC 04: Seguridad,¿Qué implica técnicamente identificar un conductor de fase con el color verde?,Es estético,Es permitido,Es un riesgo crítico de seguridad,Es más barato,C,El color verde está reservado exclusivamente para la tierra de protección; su uso en fases induce a errores de conexión fatales.
98,RIC 02: Tableros,¿Qué dispositivo se utiliza en los tableros para indicar visualmente la presencia de tensión en las fases?,Termómetro,Luz piloto,Barómetro,Higrómetro,B,Las luces piloto son los elementos destinados a señalizar la presencia de energía en las distintas fases del tablero.
99,RIC 03: Alimentadores,¿Qué sección mínima debe tener el conductor neutro en un alimentador monofásico?,Menor a fase,Igual a fase,50% de fase,Doble de fase,B,"En sistemas monofásicos, el neutro debe tener la misma sección que la fase para poder transportar la corriente de retorno."
100,RIC 04: Canalización,¿Qué resistencia al fuego (RF) mínima requiere un shaft que aloje alimentadores eléctricos?,RF 30,RF 60,RF 90,RF 120,D,Los shafts verticales de alimentadores en edificios deben asegurar una resistencia al fuego mínima de 120 minutos (RF 120).
101,RIC 03: General,¿Qué se define técnicamente como un conductor activo en un sistema de CA?,Solo tierra,Fase o neutro,El ducto,La caja,B,"El RIC 03 define como conductores activos a aquellos destinados al transporte de energía, específicamente fases y neutro."
102,Normativa General,¿A qué distancia se deben ubicar los postes de una subestación aérea?,1 m,3 m,Según diseño y DS 109,10 m,C,La ubicación de los postes para subestaciones se rige por las especificaciones de diseño y el Decreto Supremo N° 109.
103,RIC 11: Especiales,¿Qué protección es obligatoria para evitar riesgos de electrocución en salas de baño?,Fusible,Diferencial 30 mA,Solo termomagnético,Cinta aislante,B,El RIC 11 exige que los circuitos en salas de baño cuenten con protección diferencial de sensibilidad no superior a 30 mA.
104,RIC 10: General,¿Dónde deben realizarse obligatoriamente todas las uniones de conductores?,Amarradas con alambre,Dentro de cajas de derivación,En el aire,Con cinta adhesiva,B,El RIC 10 prohíbe las uniones fuera de cajas; todas las derivaciones deben ejecutarse dentro de cajas de derivación o paso.
105,RIC 04: General,¿Qué indica el grado de protección IPX4 en un equipo eléctrico?,Sin protección,Protección contra polvo,Protección contra salpicaduras de agua,Sumergible,C,"El dígito ""4"" en la segunda posición del código IP indica protección contra el ingreso de agua proyectada en salpicaduras."
106,RIC 02: Tableros,¿Cuántos circuitos derivados puede alimentar como máximo una sola protección general?,10 circuitos,15 circuitos,25 circuitos,50 circuitos,C,El estándar normativo establece un límite de 25 circuitos por cada interruptor general de distribución en un tablero.
107,RIC 01: Empalmes,¿Cuál es la distancia mínima permitida para ubicar el medidor desde la entrada principal?,5 m,10 m,15 m,25 m,C,El RIC 01 sitúa la ubicación reglamentaria de la caja de empalme dentro de un radio de 15 m desde el acceso principal.
108,RIC 10: Fuerza,¿Cuál es la sección mínima de conductor de cobre para circuitos de fuerza?,"1,5 mm²","2,5 mm²","4,0 mm²","6,0 mm²",B,"Según el RIC 04 y RIC 10, los circuitos destinados a fuerza (motores) deben tener una sección mínima de 2,5 mm²."
109,RIC 04: Canalización,¿Qué elementos se utilizan reglamentariamente para nivelar bandejas portaconductores?,Madera,Tensores o escuadras,Cuerdas,Pegamento,B,Las bandejas deben ser niveladas y soportadas por elementos metálicos rígidos como tensores o escuadras de soporte.
110,RIC 04: Canalización,¿Qué distancia máxima se permite entre los soportes de una bandeja portaconductores?,"0,5 m","1,0 m","1,5 m","3,0 m",C,"Para asegurar la rigidez mecánica, la separación entre soportes de bandejas no debe superar los 1,5 metros."
